iter	RMSE
0	2858.833064
1	2784.614846
2	2764.079207
3	2757.961439
4	2755.765445
5	2754.650797
6	2754.057795
7	2753.882716
8	2753.673547
9	2753.456955
10	2753.296669
11	2752.487809
12	2752.029561
13	2751.501457
14	2751.352862
15	2750.987248
16	2750.772834
17	2750.705015
18	2750.483988
19	2750.308534
20	2750.306657
21	2749.911738
22	2749.903624
23	2749.818513
24	2749.68379
25	2749.620984
26	2749.522723
27	2749.351314
28	2749.026624
29	2748.7527
30	2748.521309
31	2748.379368
32	2747.905229
33	2747.767021
34	2747.63205
35	2747.474391
36	2747.390126
37	2747.228622
38	2747.027251
39	2746.930325
40	2746.501722
41	2746.253778
42	2746.054568
43	2745.947974
44	2745.81479
45	2745.759959
46	2745.577615
47	2745.457049
48	2745.405686
49	2745.344953
50	2745.208103
51	2744.927978
52	2744.923872
53	2744.763052
54	2744.59149
55	2744.394307
56	2744.2131
57	2743.957905
58	2743.853112
59	2743.829406
60	2743.813396
61	2743.680975
62	2743.658227
63	2743.599191
64	2743.571693
65	2743.508742
66	2743.353227
67	2743.329978
68	2743.252665
69	2743.039661
70	2742.919364
71	2742.888981
72	2742.73182
73	2742.629762
74	2742.43521
75	2742.302811
76	2742.237221
77	2742.185849
78	2742.054958
79	2741.946524
80	2741.884946
81	2741.829385
82	2741.68175
83	2741.616423
84	2741.576435
85	2741.569286
86	2741.455894
87	2741.414302
88	2741.269062
89	2741.127678
90	2741.111146
91	2741.030357
92	2740.98915
93	2740.966218
94	2740.92104
95	2740.796682
96	2740.632906
97	2740.570088
98	2740.505167
99	2740.47048
100	2740.459954
101	2740.35102
102	2740.287354
103	2740.113669
104	2740.105717
105	2740.004338
106	2739.852345
107	2739.743763
108	2739.61488
109	2739.484472
110	2739.426889
111	2739.387401
112	2739.301403
113	2739.2109
114	2739.146269
115	2739.091504
116	2739.029605
117	2738.907189
118	2738.90616
119	2738.892684
120	2738.772542
121	2738.728173
122	2738.648876
123	2738.531396
124	2738.400281
125	2738.361836
126	2738.329266
127	2738.201371
128	2738.187189
129	2738.064054
130	2738.001631
131	2737.852625
132	2737.778235
133	2737.63635
134	2737.537304
135	2737.536746
136	2737.326056
137	2737.32041
138	2737.316684
139	2737.261091
140	2737.184085
141	2737.074674
142	2736.95376
143	2736.935426
144	2736.87801
145	2736.812485
146	2736.712283
147	2736.710885
148	2736.646658
149	2736.56241
