iter	Passed	Remaining
0	291	14272
1	463	11120
2	617	9675
3	769	8848
4	873	7865
5	1039	7623
6	1180	7253
7	1319	6925
8	1471	6701
9	1542	6168
10	1680	5957
11	1834	5808
12	1991	5667
13	2150	5530
14	2297	5360
15	2448	5202
16	2590	5028
17	2731	4856
18	2879	4697
19	3021	4532
20	3166	4373
21	3305	4206
22	3441	4039
23	3589	3888
24	3741	3741
25	3900	3600
26	4051	3451
27	4201	3301
28	4290	3106
29	4442	2961
30	4585	2810
31	4741	2667
32	4895	2521
33	5042	2373
34	5200	2228
35	5349	2080
36	5497	1931
37	5646	1783
38	5809	1638
39	5955	1488
40	6112	1341
41	6265	1193
42	6416	1044
43	6562	894
44	6703	744
45	6852	595
46	6993	446
47	7138	297
48	7287	148
49	7440	0
